period,views,visitors,likes,comments,post_titles,
2015-04-07,0,0,0,0,[],
2015-04-08,0,0,0,0,[],
2015-04-09,0,0,0,0,[],
2015-04-10,6,1,0,0,[],
2015-04-11,1,1,0,0,[],
2015-04-12,0,0,0,0,[],
2015-04-13,0,0,0,0,[],
2015-04-14,3,1,0,0,[u'Project: Analogue Tape Delay \u2013 Etching PCB'],
2015-04-15,0,0,0,0,[],
2015-04-16,0,0,0,0,[],
2015-04-17,0,0,0,0,[],
2015-04-18,0,0,0,0,[],
2015-04-19,0,0,0,0,[],
2015-04-20,0,0,0,0,[],
2015-04-21,1,1,0,0,[],
2015-04-22,0,0,0,0,[],
2015-04-23,0,0,0,0,[],
2015-04-24,1,1,5,0,[],
2015-04-25,0,0,0,0,[],
2015-04-26,0,0,0,0,[],
2015-04-27,0,0,0,0,[],
2015-04-28,0,0,0,0,[],
2015-04-29,0,0,0,0,[],
2015-04-30,0,0,0,0,[],
2015-05-01,0,0,0,0,[],
2015-05-02,0,0,0,0,[],
2015-05-03,0,0,0,0,[],
2015-05-04,6,1,0,0,[],
2015-05-05,0,0,0,0,[],
2015-05-06,0,0,0,0,[],
2015-05-07,0,0,0,0,[],
2015-05-08,0,0,0,0,[],
2015-05-09,1,1,0,0,[u'Project: Analogue Tape Delay \u2013 Assembley'],
2015-05-10,7,2,2,0,[],
2015-05-11,10,6,2,0,[u'Project: Analogue Tape Delay \u2013 Final Demonstration'],
2015-05-12,2,1,0,0,[],
2015-05-13,2,1,0,0,[],
2015-05-14,0,0,0,0,[],
2015-05-15,0,0,0,0,[],
2015-05-16,0,0,0,0,[],
2015-05-17,2,1,0,0,[],
2015-05-18,0,0,0,0,[],
2015-05-19,0,0,0,0,[],
2015-05-20,0,0,0,0,[],
2015-05-21,0,0,0,0,[],
2015-05-22,0,0,0,0,[],
2015-05-23,0,0,0,0,[],
2015-05-24,0,0,0,0,[],
2015-05-25,0,0,0,0,[],
2015-05-26,0,0,0,0,[],
2015-05-27,3,1,0,0,[],
2015-05-28,4,2,0,0,[],
2015-05-29,0,0,0,0,[],
2015-05-30,4,1,0,0,[],
2015-05-31,0,0,0,0,[],
2015-06-01,0,0,0,0,[],
2015-06-02,1,1,0,0,[],
2015-06-03,0,0,0,0,[],
2015-06-04,0,0,0,0,[],
2015-06-05,2,1,0,0,[],
2015-06-06,10,2,0,0,[],
2015-06-07,0,0,0,0,[],
2015-06-08,0,0,0,0,[],
2015-06-09,0,0,0,0,[],
2015-06-10,0,0,0,0,[],
2015-06-11,0,0,0,0,[],
2015-06-12,2,1,0,0,[],
2015-06-13,0,0,0,0,[],
2015-06-14,0,0,0,0,[],
2015-06-15,0,0,0,0,[],
2015-06-16,3,2,0,0,[],
2015-06-17,6,4,0,0,[u'Project: Nixie Clock \u2013 Beginnings'],
2015-06-18,1,1,1,0,[],
2015-06-19,0,0,0,0,[],
2015-06-20,0,0,0,0,[],
2015-06-21,0,0,0,0,[],
2015-06-22,2,1,0,0,[],
2015-06-23,0,0,0,0,[],
2015-06-24,11,3,1,0,[u'Project: Nixie Clocks \u2013 Preventing Electrocution'],
2015-06-25,0,0,0,0,[],
2015-06-26,0,0,0,0,[],
2015-06-27,4,2,0,0,[],
2015-06-28,1,1,0,0,[],
2015-06-29,0,0,0,0,[],
2015-06-30,3,2,0,0,[],
2015-07-01,0,0,0,0,[],
2015-07-02,0,0,0,0,[],
2015-07-03,0,0,0,0,[],
2015-07-04,0,0,0,0,[],
2015-07-05,0,0,0,0,[],
2015-07-06,6,2,0,0,[],
2015-07-07,6,1,0,0,[],
2015-07-08,0,0,0,0,[],
2015-07-09,0,0,0,0,[],
2015-07-10,1,1,0,0,[],
2015-07-11,0,0,0,0,[],
2015-07-12,0,0,0,0,[],
2015-07-13,0,0,0,0,[],
2015-07-14,2,2,0,0,[],
2015-07-15,0,0,0,0,[],
2015-07-16,1,1,0,0,[],
2015-07-17,2,1,0,0,[],
2015-07-18,0,0,0,0,[],
2015-07-19,0,0,0,0,[],
2015-07-20,1,1,0,0,[],
2015-07-21,1,1,0,0,[],
2015-07-22,2,1,0,0,[],
2015-07-23,0,0,0,0,[],
2015-07-24,1,1,0,0,[],
2015-07-25,1,1,0,0,[],
2015-07-26,2,1,0,0,[],
2015-07-27,0,0,0,0,[u'Project: Nixie Clock \u2013 Why I am using strip-board for the logic'],
